lon,lat,el
-2.540665138613031,51.81157779384343,178.1651031852388 
-2.540576506098064,51.81187616951124,177.7785407903204 
-2.540255001735281,51.81203078104505,177.778113341575 
-2.540004945632726,51.81219643350835,177.7777610149035 
-2.53875333457727,51.81185297656636,179.4523040279659 
-2.538020841876295,51.81179652735327,181.4130856823422 
-2.537147334682708,51.81186022779008,184.9582955520526 
-2.536273587525522,51.8121821966341,181.5831960544855 
-2.53584467590699,51.8124592088084,180.1000851554973 
-2.535826259330016,51.81293449538836,179.2971436162431 
-2.53587974891135,51.81340908184517,179.2369476970588 
-2.536414710914856,51.8137422303609,177.9441696482896 
-2.537200603611906,51.81408469173324,177.8612466344306 
-2.538075835475819,51.81415088362366,177.8949352878319 
-2.538682832261604,51.81394942316304,176.6643675100531 
-2.540069027815867,51.81341411420981,177.9854185590285 
-2.540375308669066,51.81324098206476,179.3755492743962 
-2.540396723913324,51.81305562239384,179.9851543140488 
-2.540195612805157,51.81223746596584,177.7558228243718 
-2.54040450999885,51.81210398912172,176.749745873966 
-2.541137855508119,51.81242265310836,177.1980944028212 
-2.54269629045519,51.81260618316913,177.7286433671825 
-2.543675115052455,51.81244063304374,174.624354272032 
-2.543587751746086,51.81204797888371,176.0237680304352 
-2.543318979288516,51.81186232243597,177.004359962625 
-2.542059660481052,51.81125082942422,179.2355489719427 
-2.540237726275578,51.81058550260666,174.3525028921036 
-2.540665138613031,51.81157779384343,178.1651031852388 
