lon,lat,ele
-2.539143967868294,51.80472232500553,164.1936266261424 
-2.542008314999256,51.80441446302324,165.1309381686391 
-2.544032359211799,51.80564226463007,165.1999304536144 
-2.545950509790542,51.80214967425588,158.390900833441 
-2.544383298401058,51.80134577012109,157.4242158824322 
-2.54415320493238,51.80077803091398,157.9823316347143 
-2.543809552577997,51.79940594899262,157.1689960837685 
-2.544456936950007,51.79905216677677,160.0644147067693 
-2.544190000502131,51.79838981298507,159.2997796576832 
-2.543772178084087,51.79817511128317,156.0141237948876 
-2.542281545096313,51.79867058226191,152.7925284047469 
-2.542701484093829,51.80047043877002,155.0930362861838 
-2.538281153238631,51.79840260286664,162.4163061546579 
-2.536652997871063,51.8001827085987,161.25914153839 
-2.534875704340246,51.8013167398944,164.6204244946628 
-2.534751579082334,51.80173575755472,166.2482657894658 
-2.534703220037455,51.80529226672374,169.0090803287684 
-2.535003169430149,51.80617313981309,169.0929365451511 
-2.535156637090189,51.80887990975879,176.2590363750219 
-2.534982719020074,51.80935553175838,177.3832683684321 
-2.539143967868294,51.80472232500553,164.1936266261424
